depth, elements, relations, ram, duration, elements;
4, 1, 50, 105, 590, 690, 
4, 1, 50, 105, 648, 690, 
4, 1, 50, 105, 634, 690, 
4, 1, 50, 105, 567, 690, 
4, 1, 50, 106, 637, 690, 
4, 1, 50, 105, 547, 690, 
4, 1, 50, 105, 621, 690, 
4, 1, 50, 106, 554, 690, 
4, 1, 50, 105, 571, 690, 
4, 1, 50, 105, 587, 690, 
4, 1, 50, 106, 571, 690, 
4, 1, 50, 105, 551, 690, 
4, 1, 50, 105, 622, 690, 
4, 1, 50, 105, 553, 690, 
4, 1, 50, 106, 608, 690, 
4, 1, 50, 106, 602, 690, 
4, 1, 50, 105, 642, 690, 
4, 1, 50, 106, 583, 690, 
4, 1, 50, 106, 626, 690, 
4, 1, 50, 106, 579, 690, 
4, 1, 50, 106, 575, 690, 
4, 1, 50, 105, 559, 690, 
4, 1, 50, 106, 567, 690, 
4, 1, 50, 105, 586, 690, 
4, 1, 50, 106, 593, 690, 
4, 1, 50, 106, 614, 690, 
4, 1, 50, 106, 583, 690, 
4, 1, 50, 106, 653, 690, 
4, 1, 50, 106, 593, 690, 
4, 1, 50, 106, 605, 690, 
4, 1, 50, 106, 598, 690, 
4, 1, 50, 106, 594, 690, 
4, 1, 50, 105, 617, 690, 
4, 1, 50, 106, 587, 690, 
4, 1, 50, 106, 658, 690, 
4, 1, 50, 106, 568, 690, 
4, 1, 50, 106, 591, 690, 
4, 1, 50, 106, 601, 690, 
4, 1, 50, 106, 618, 690, 
4, 1, 50, 106, 594, 690, 
4, 1, 50, 106, 615, 690, 
4, 1, 50, 106, 532, 690, 
4, 1, 50, 106, 616, 690, 
4, 1, 50, 106, 629, 690, 
4, 1, 50, 106, 577, 690, 
4, 1, 50, 106, 559, 690, 
4, 1, 50, 106, 607, 690, 
4, 1, 50, 106, 565, 690, 
4, 1, 50, 106, 570, 690, 
4, 1, 50, 106, 673, 690, 
4, 1, 50, 106, 573, 690, 
4, 1, 50, 106, 682, 690, 
4, 1, 50, 106, 609, 690, 
4, 1, 50, 106, 605, 690, 
4, 1, 50, 106, 563, 690, 
4, 1, 50, 106, 564, 690, 
4, 1, 50, 106, 558, 690, 
4, 1, 50, 106, 592, 690, 
4, 1, 50, 106, 613, 690, 
4, 1, 50, 106, 605, 690, 
4, 1, 50, 106, 623, 690, 
4, 1, 50, 106, 543, 690, 
4, 1, 50, 106, 643, 690, 
4, 1, 50, 106, 604, 690, 
4, 1, 50, 106, 594, 690, 
4, 1, 50, 106, 595, 690, 
4, 1, 50, 106, 596, 690, 
4, 1, 50, 106, 593, 690, 
4, 1, 50, 106, 596, 690, 
4, 1, 50, 106, 607, 690, 
4, 1, 50, 106, 626, 690, 
4, 1, 50, 106, 631, 690, 
4, 1, 50, 106, 642, 690, 
4, 1, 50, 106, 586, 690, 
4, 1, 50, 106, 591, 690, 
4, 1, 50, 106, 531, 690, 
4, 1, 50, 106, 582, 690, 
4, 1, 50, 106, 593, 690, 
4, 1, 50, 106, 599, 690, 
4, 1, 50, 106, 725, 690, 
4, 1, 50, 106, 696, 690, 
4, 1, 50, 106, 643, 690, 
4, 1, 50, 106, 695, 690, 
4, 1, 50, 106, 590, 690, 
4, 1, 50, 106, 567, 690, 
4, 1, 50, 106, 631, 690, 
4, 1, 50, 106, 577, 690, 
4, 1, 50, 106, 666, 690, 
4, 1, 50, 107, 629, 690, 
4, 1, 50, 106, 557, 690, 
4, 1, 50, 106, 529, 690, 
4, 1, 50, 106, 667, 690, 
4, 1, 50, 106, 546, 690, 
4, 1, 50, 106, 568, 690, 
4, 1, 50, 107, 646, 690, 
4, 1, 50, 106, 579, 690, 
4, 1, 50, 106, 565, 690, 
4, 1, 50, 107, 648, 690, 
4, 1, 50, 106, 680, 690, 
4, 1, 50, 107, 652, 690, 
4, 1, 50, 106, 592, 690, 
4, 1, 50, 106, 600, 690, 
4, 1, 50, 107, 621, 690, 
4, 1, 50, 106, 619, 690, 
4, 1, 50, 106, 631, 690, 
4, 1, 50, 106, 519, 690, 
4, 1, 50, 106, 577, 690, 
4, 1, 50, 107, 577, 690, 
4, 1, 50, 106, 607, 690, 
4, 1, 50, 106, 570, 690, 
4, 1, 50, 107, 611, 690, 
4, 1, 50, 106, 591, 690, 
4, 1, 50, 106, 542, 690, 
4, 1, 50, 106, 586, 690, 
4, 1, 50, 106, 569, 690, 
4, 1, 50, 107, 613, 690, 
4, 1, 50, 106, 590, 690, 
4, 1, 50, 106, 545, 690, 
4, 1, 50, 107, 694, 690, 
4, 1, 50, 107, 642, 690, 
4, 1, 50, 106, 594, 690, 
4, 1, 50, 107, 662, 690, 
4, 1, 50, 106, 609, 690, 
4, 1, 50, 107, 645, 690, 
4, 1, 50, 106, 562, 690, 
4, 1, 50, 106, 537, 690, 
4, 1, 50, 107, 613, 690, 
4, 1, 50, 107, 519, 690, 
4, 1, 50, 107, 617, 690, 
4, 1, 50, 107, 638, 690, 
4, 1, 50, 106, 571, 690, 
4, 1, 50, 106, 602, 690, 
4, 1, 50, 107, 611, 690, 
4, 1, 50, 107, 611, 690, 
4, 1, 50, 107, 684, 690, 
4, 1, 50, 106, 576, 690, 
4, 1, 50, 107, 591, 690, 
4, 1, 50, 106, 541, 690, 
4, 1, 50, 107, 555, 690, 
4, 1, 50, 107, 585, 690, 
4, 1, 50, 107, 701, 690, 
4, 1, 50, 107, 593, 690, 
4, 1, 50, 107, 576, 690, 
4, 1, 50, 107, 589, 690, 
4, 1, 50, 107, 577, 690, 
4, 1, 50, 107, 593, 690, 
4, 1, 50, 107, 612, 690, 
4, 1, 50, 107, 556, 690, 
4, 1, 50, 107, 589, 690, 
4, 1, 50, 107, 525, 690, 
4, 1, 50, 107, 669, 690, 
4, 1, 50, 107, 572, 690, 
4, 1, 50, 107, 641, 690, 
4, 1, 50, 107, 551, 690, 
4, 1, 50, 107, 599, 690, 
4, 1, 50, 107, 551, 690, 
4, 1, 50, 107, 558, 690, 
4, 1, 50, 107, 596, 690, 
4, 1, 50, 107, 551, 690, 
4, 1, 50, 107, 593, 690, 
4, 1, 50, 107, 651, 690, 
4, 1, 50, 107, 606, 690, 
4, 1, 50, 107, 665, 690, 
4, 1, 50, 107, 633, 690, 
4, 1, 50, 107, 585, 690, 
4, 1, 50, 107, 664, 690, 
4, 1, 50, 107, 633, 690, 
4, 1, 50, 107, 585, 690, 
4, 1, 50, 107, 624, 690, 
4, 1, 50, 107, 601, 690, 
4, 1, 50, 107, 609, 690, 
4, 1, 50, 107, 579, 690, 
4, 1, 50, 107, 598, 690, 
4, 1, 50, 107, 709, 690, 
4, 1, 50, 107, 599, 690, 
4, 1, 50, 107, 599, 690, 
4, 1, 50, 107, 576, 690, 
4, 1, 50, 107, 671, 690, 
4, 1, 50, 107, 595, 690, 
4, 1, 50, 107, 536, 690, 
4, 1, 50, 107, 594, 690, 
4, 1, 50, 107, 597, 690, 
4, 1, 50, 107, 590, 690, 
4, 1, 50, 107, 620, 690, 
4, 1, 50, 107, 622, 690, 
4, 1, 50, 107, 573, 690, 
4, 1, 50, 107, 631, 690, 
4, 1, 50, 107, 570, 690, 
4, 1, 50, 107, 558, 690, 
4, 1, 50, 107, 548, 690, 
4, 1, 50, 107, 552, 690, 
4, 1, 50, 107, 643, 690, 
4, 1, 50, 107, 591, 690, 
4, 1, 50, 108, 666, 690, 
4, 1, 50, 107, 548, 690, 
4, 1, 50, 108, 631, 690, 
4, 1, 50, 107, 566, 690, 
4, 1, 50, 107, 576, 690, 
4, 1, 50, 108, 594, 690, 
4, 1, 50, 107, 598, 690, 
