duration, ram;
36, 90, 
72, 91, 
58, 85, 
74, 87, 
101, 89, 
35, 87, 
67, 87, 
42, 90, 
32, 87, 
38, 88, 
98, 90, 
81, 88, 
38, 86, 
29, 88, 
45, 90, 
32, 87, 
36, 88, 
91, 89, 
47, 87, 
37, 88, 
68, 89, 
38, 87, 
67, 87, 
56, 89, 
91, 90, 
33, 87, 
65, 87, 
45, 91, 
47, 87, 
56, 89, 
67, 90, 
58, 87, 
71, 87, 
58, 91, 
40, 87, 
75, 87, 
96, 89, 
95, 89, 
87, 88, 
46, 89, 
95, 89, 
76, 89, 
65, 90, 
41, 87, 
61, 87, 
58, 90, 
36, 87, 
108, 87, 
40, 90, 
33, 87, 
29, 88, 
61, 89, 
94, 88, 
74, 87, 
77, 88, 
49, 89, 
58, 89, 
71, 89, 
31, 87, 
31, 88, 
44, 90, 
42, 87, 
37, 87, 
97, 90, 
37, 87, 
54, 86, 
52, 91, 
99, 89, 
48, 88, 
40, 88, 
90, 90, 
84, 88, 
99, 90, 
25, 87, 
47, 88, 
37, 90, 
30, 87, 
82, 87, 
43, 90, 
35, 87, 
92, 88, 
48, 90, 
108, 88, 
85, 89, 
26, 87, 
33, 88, 
33, 90, 
47, 87, 
61, 79, 
65, 91, 
48, 87, 
68, 79, 
48, 91, 
66, 88, 
65, 88, 
42, 91, 
54, 87, 
44, 89, 
50, 91, 
37, 88, 
32, 88, 
91, 91, 
30, 88, 
32, 88, 
46, 91, 
30, 88, 
69, 87, 
100, 90, 
40, 89, 
84, 88, 
59, 90, 
84, 88, 
57, 87, 
49, 88, 
42, 91, 
49, 87, 
31, 89, 
92, 91, 
136, 90, 
63, 87, 
46, 88, 
46, 91, 
35, 88, 
81, 88, 
51, 90, 
84, 87, 
31, 88, 
56, 91, 
49, 89, 
144, 88, 
57, 89, 
81, 89, 
40, 88, 
87, 88, 
42, 81, 
120, 91, 
54, 88, 
80, 88, 
56, 91, 
53, 88, 
97, 88, 
41, 90, 
37, 88, 
64, 86, 
72, 91, 
41, 88, 
68, 87, 
63, 91, 
104, 90, 
106, 91, 
98, 89, 
85, 89, 
29, 88, 
67, 88, 
88, 91, 
100, 90, 
38, 89, 
54, 96, 
67, 92, 
110, 88, 
42, 89, 
58, 91, 
111, 89, 
53, 88, 
89, 88, 
41, 91, 
31, 88, 
47, 84, 
58, 92, 
86, 90, 
86, 90, 
74, 90, 
38, 91, 
40, 88, 
51, 89, 
59, 92, 
95, 89, 
52, 88, 
61, 90, 
41, 89, 
99, 88, 
68, 91, 
39, 89, 
69, 80, 
67, 92, 
57, 89, 
58, 88, 
38, 92, 
80, 89, 
42, 89, 
31, 89, 
103, 91, 
31, 88, 
80, 89, 
87, 91, 
44, 88, 
60, 86, 
61, 92, 
31, 88, 
78, 89, 
