duration, ram;
226, 126, 
237, 125, 
324, 126, 
188, 127, 
273, 125, 
199, 125, 
268, 126, 
217, 126, 
438, 127, 
259, 127, 
246, 127, 
240, 127, 
272, 129, 
257, 127, 
231, 127, 
343, 127, 
257, 128, 
258, 126, 
255, 123, 
236, 126, 
248, 126, 
167, 131, 
166, 125, 
235, 126, 
196, 128, 
225, 126, 
455, 129, 
321, 127, 
261, 126, 
275, 127, 
213, 128, 
325, 127, 
460, 126, 
282, 127, 
273, 126, 
256, 127, 
255, 127, 
192, 126, 
255, 126, 
225, 126, 
409, 126, 
245, 127, 
284, 127, 
244, 127, 
242, 126, 
206, 127, 
296, 127, 
262, 127, 
252, 126, 
245, 126, 
195, 126, 
182, 126, 
213, 126, 
182, 126, 
166, 126, 
180, 127, 
885, 127, 
266, 127, 
195, 127, 
399, 126, 
253, 127, 
216, 127, 
230, 127, 
301, 127, 
330, 127, 
218, 127, 
268, 127, 
241, 127, 
278, 127, 
217, 127, 
241, 127, 
212, 127, 
215, 127, 
271, 127, 
253, 127, 
214, 127, 
309, 127, 
513, 126, 
181, 127, 
155, 127, 
238, 127, 
185, 126, 
184, 126, 
236, 127, 
285, 128, 
248, 127, 
290, 128, 
229, 128, 
268, 127, 
289, 127, 
210, 129, 
226, 127, 
239, 127, 
220, 128, 
280, 128, 
257, 127, 
253, 128, 
192, 133, 
285, 127, 
195, 127, 
218, 128, 
574, 128, 
180, 126, 
334, 128, 
205, 128, 
387, 73, 
223, 129, 
269, 127, 
176, 128, 
215, 127, 
261, 128, 
194, 128, 
572, 132, 
234, 126, 
173, 127, 
185, 127, 
167, 126, 
189, 127, 
172, 126, 
201, 126, 
166, 127, 
155, 127, 
229, 98, 
230, 128, 
159, 126, 
214, 126, 
155, 126, 
230, 127, 
204, 127, 
148, 127, 
745, 128, 
278, 127, 
207, 128, 
274, 127, 
265, 128, 
255, 127, 
220, 128, 
207, 128, 
195, 134, 
216, 128, 
237, 127, 
293, 128, 
209, 128, 
220, 128, 
190, 128, 
249, 127, 
219, 128, 
239, 128, 
178, 128, 
205, 128, 
201, 128, 
253, 128, 
254, 127, 
267, 128, 
245, 133, 
216, 128, 
220, 128, 
307, 128, 
195, 132, 
228, 128, 
225, 128, 
254, 128, 
189, 128, 
232, 128, 
204, 128, 
186, 128, 
248, 128, 
206, 128, 
203, 128, 
231, 128, 
211, 134, 
188, 128, 
200, 128, 
230, 128, 
215, 128, 
234, 128, 
231, 128, 
238, 128, 
227, 128, 
202, 128, 
218, 128, 
178, 129, 
214, 128, 
204, 129, 
301, 129, 
254, 128, 
280, 128, 
211, 130, 
381, 128, 
211, 129, 
327, 128, 
227, 129, 
234, 128, 
231, 128, 
174, 128, 
217, 130, 
237, 128, 
204, 128, 
189, 129, 
195, 129, 
