duration, ram;
32546, 1388, 
35225, 2371, 
33438, 2390, 
38248, 2370, 
33715, 2363, 
31902, 1440, 
37070, 540, 
38742, 2379, 
35913, 251, 
34001, 2371, 
30720, 1002, 
32488, 2376, 
32847, 569, 
34860, 2376, 
30485, 2371, 
36352, 2374, 
39519, 2370, 
34249, 129, 
29862, 2370, 
35652, 2263, 
35739, 2374, 
30975, 2363, 
36775, 2373, 
38467, 2373, 
34601, 2384, 
38377, 2377, 
35424, 2371, 
33015, 2371, 
39672, 1282, 
33889, 2384, 
33282, 2356, 
35288, 2376, 
35612, 2356, 
43889, 2367, 
36319, 2287, 
35211, 408, 
33550, 2176, 
34946, 129, 
36516, 2321, 
34321, 103, 
34262, 384, 
33304, 104, 
34077, 355, 
34182, 2320, 
37516, 2373, 
35973, 122, 
41424, 2375, 
32624, 2375, 
39041, 2370, 
36470, 2330, 
39882, 2375, 
34198, 103, 
33744, 2308, 
34881, 184, 
36337, 2390, 
40531, 1320, 
30643, 2373, 
36948, 120, 
36579, 2339, 
34812, 2341, 
29560, 2369, 
34057, 1241, 
32227, 1220, 
32667, 1058, 
32717, 1286, 
35958, 2363, 
35049, 2254, 
35396, 1109, 
34519, 198, 
33286, 1570, 
41246, 2374, 
37982, 2368, 
43732, 2374, 
37048, 2370, 
36552, 2374, 
34637, 2011, 
36003, 1178, 
36904, 2376, 
44068, 1040, 
40251, 2266, 
34657, 2371, 
36189, 120, 
41268, 2373, 
45346, 2018, 
42813, 2319, 
43757, 2371, 
38077, 103, 
37916, 2377, 
32055, 2370, 
36705, 2209, 
33585, 114, 
44128, 2369, 
35565, 2120, 
37536, 156, 
36234, 1543, 
34454, 125, 
36766, 1320, 
32425, 2063, 
29701, 2131, 
34242, 2189, 
31956, 1246, 
31351, 2375, 
40220, 2376, 
35591, 1332, 
37510, 2376, 
33624, 234, 
34438, 2352, 
34935, 2041, 
33279, 2372, 
45746, 2373, 
33165, 2377, 
34874, 1184, 
31941, 2375, 
35935, 1947, 
33126, 114, 
33958, 2272, 
32785, 214, 
37847, 2375, 
35461, 389, 
40277, 2228, 
40558, 2103, 
31024, 2377, 
34329, 1983, 
33438, 2372, 
34654, 123, 
32939, 2378, 
40957, 1768, 
38072, 1394, 
35595, 2372, 
31418, 112, 
36252, 2358, 
31887, 1284, 
31282, 120, 
34833, 2223, 
31966, 2365, 
37418, 2348, 
39747, 2374, 
34396, 2390, 
35868, 2371, 
36879, 2359, 
33841, 2017, 
36719, 2384, 
37325, 111, 
32555, 2369, 
32959, 2370, 
33433, 2114, 
39379, 911, 
33201, 1902, 
35571, 2346, 
35027, 253, 
37967, 252, 
33104, 2360, 
35393, 2229, 
39151, 104, 
39578, 1280, 
33471, 2365, 
33421, 1487, 
33190, 2375, 
33036, 1155, 
34509, 2371, 
41339, 149, 
36361, 105, 
32822, 1150, 
37563, 2377, 
38106, 119, 
39171, 2369, 
33905, 104, 
32984, 586, 
39993, 1264, 
42895, 2371, 
39300, 131, 
36106, 1564, 
32447, 154, 
34766, 1305, 
39760, 104, 
35390, 113, 
34262, 2382, 
41764, 2322, 
34521, 104, 
36410, 2374, 
35794, 112, 
31023, 1886, 
30261, 362, 
30941, 2376, 
39423, 2375, 
30592, 110, 
34390, 2373, 
35468, 932, 
32120, 2376, 
34630, 2357, 
34273, 327, 
33068, 115, 
36247, 2382, 
34286, 2386, 
30076, 104, 
31737, 2386, 
34065, 1137, 
33229, 2331, 
32369, 2377, 
34606, 2375, 
