duration, ram;
14, 80, 
7, 83, 
7, 82, 
6, 81, 
12, 81, 
7, 82, 
11, 80, 
16, 81, 
8, 82, 
16, 81, 
8, 81, 
8, 82, 
12, 81, 
14, 81, 
8, 82, 
14, 81, 
12, 81, 
7, 82, 
16, 81, 
12, 81, 
8, 82, 
19, 81, 
12, 81, 
6, 82, 
17, 81, 
7, 82, 
8, 82, 
13, 81, 
7, 81, 
7, 82, 
8, 83, 
7, 82, 
9, 82, 
8, 83, 
21, 81, 
13, 81, 
7, 83, 
6, 81, 
6, 82, 
8, 82, 
5, 81, 
7, 82, 
8, 83, 
6, 82, 
5, 82, 
8, 83, 
7, 82, 
7, 82, 
8, 82, 
5, 82, 
6, 82, 
7, 84, 
6, 81, 
5, 82, 
9, 84, 
7, 83, 
6, 82, 
8, 84, 
6, 81, 
11, 82, 
9, 83, 
14, 83, 
6, 82, 
13, 84, 
6, 82, 
6, 83, 
8, 83, 
9, 83, 
7, 82, 
10, 84, 
10, 91, 
8, 82, 
9, 83, 
18, 82, 
13, 82, 
7, 84, 
5, 81, 
6, 82, 
16, 85, 
12, 83, 
5, 82, 
8, 85, 
7, 83, 
6, 82, 
7, 85, 
6, 82, 
6, 82, 
10, 84, 
6, 82, 
6, 83, 
7, 83, 
7, 81, 
9, 83, 
6, 82, 
7, 84, 
15, 81, 
5, 83, 
8, 84, 
24, 82, 
8, 83, 
7, 83, 
6, 82, 
7, 83, 
9, 83, 
7, 85, 
6, 82, 
8, 84, 
5, 82, 
7, 83, 
7, 83, 
19, 88, 
7, 83, 
8, 84, 
6, 83, 
7, 90, 
6, 84, 
7, 82, 
7, 83, 
8, 83, 
17, 81, 
6, 84, 
8, 84, 
6, 82, 
15, 83, 
10, 83, 
8, 92, 
13, 83, 
8, 84, 
7, 83, 
6, 83, 
8, 90, 
9, 83, 
9, 83, 
10, 84, 
7, 82, 
8, 83, 
16, 84, 
10, 83, 
7, 84, 
6, 83, 
6, 89, 
6, 83, 
11, 84, 
25, 83, 
8, 83, 
10, 84, 
22, 83, 
7, 84, 
9, 85, 
13, 91, 
5, 83, 
8, 85, 
7, 82, 
6, 83, 
9, 84, 
8, 83, 
8, 83, 
8, 85, 
16, 83, 
6, 83, 
10, 84, 
9, 83, 
9, 83, 
8, 85, 
11, 83, 
8, 83, 
7, 84, 
22, 82, 
6, 83, 
8, 84, 
6, 83, 
17, 88, 
8, 85, 
7, 83, 
7, 83, 
8, 84, 
15, 88, 
6, 83, 
9, 86, 
15, 83, 
20, 94, 
9, 86, 
7, 83, 
10, 84, 
8, 84, 
8, 83, 
10, 84, 
13, 86, 
9, 83, 
8, 84, 
7, 86, 
7, 83, 
6, 84, 
8, 86, 
10, 90, 
6, 84, 
10, 84, 
6, 83, 
6, 86, 
6, 87, 
