duration, ram;
55, 81, 
74, 83, 
66, 83, 
65, 82, 
49, 82, 
59, 82, 
59, 82, 
53, 82, 
80, 82, 
64, 82, 
54, 82, 
53, 82, 
126, 82, 
53, 82, 
99, 91, 
95, 82, 
75, 82, 
70, 82, 
145, 82, 
49, 82, 
58, 82, 
45, 83, 
85, 82, 
68, 82, 
92, 82, 
69, 83, 
60, 82, 
70, 82, 
54, 82, 
55, 82, 
55, 82, 
49, 83, 
51, 82, 
63, 82, 
102, 82, 
88, 89, 
59, 82, 
88, 83, 
47, 82, 
85, 83, 
54, 83, 
49, 82, 
116, 82, 
62, 82, 
106, 82, 
97, 82, 
56, 82, 
52, 82, 
73, 83, 
48, 83, 
123, 82, 
66, 83, 
127, 82, 
127, 81, 
85, 83, 
54, 90, 
50, 84, 
42, 82, 
96, 82, 
56, 83, 
48, 82, 
50, 83, 
87, 83, 
67, 82, 
48, 83, 
109, 82, 
57, 82, 
43, 83, 
61, 82, 
65, 83, 
43, 83, 
45, 83, 
53, 83, 
56, 83, 
106, 82, 
44, 83, 
97, 83, 
91, 82, 
70, 83, 
41, 83, 
99, 83, 
56, 83, 
75, 84, 
85, 82, 
66, 83, 
64, 83, 
71, 83, 
68, 83, 
45, 83, 
77, 83, 
57, 83, 
66, 83, 
58, 83, 
110, 83, 
67, 83, 
91, 83, 
68, 84, 
58, 82, 
122, 83, 
87, 83, 
96, 82, 
44, 83, 
136, 82, 
60, 83, 
77, 83, 
102, 83, 
93, 83, 
51, 83, 
77, 83, 
102, 83, 
47, 83, 
115, 83, 
45, 83, 
48, 83, 
133, 83, 
73, 83, 
104, 82, 
78, 83, 
53, 83, 
55, 83, 
65, 83, 
103, 82, 
50, 83, 
54, 83, 
61, 83, 
45, 83, 
39, 83, 
53, 83, 
46, 83, 
59, 83, 
45, 83, 
62, 83, 
51, 83, 
94, 83, 
76, 83, 
69, 83, 
89, 83, 
58, 83, 
95, 83, 
45, 83, 
50, 83, 
45, 83, 
77, 83, 
57, 84, 
50, 83, 
119, 83, 
54, 84, 
66, 83, 
39, 83, 
103, 82, 
54, 84, 
59, 83, 
45, 83, 
102, 84, 
122, 83, 
41, 83, 
109, 83, 
42, 83, 
113, 83, 
124, 83, 
67, 83, 
50, 83, 
34, 83, 
41, 83, 
99, 84, 
76, 79, 
72, 83, 
127, 82, 
51, 84, 
68, 84, 
36, 84, 
51, 84, 
66, 84, 
61, 83, 
81, 84, 
66, 84, 
46, 83, 
45, 84, 
87, 83, 
63, 84, 
94, 84, 
69, 83, 
79, 83, 
42, 82, 
64, 83, 
62, 84, 
77, 84, 
85, 84, 
59, 84, 
89, 84, 
66, 84, 
50, 83, 
48, 84, 
74, 84, 
121, 83, 
71, 84, 
54, 84, 
64, 83, 
50, 84, 
44, 84, 
